step,count_#6,count_#7,count_#8
0,20,500,25
1,20,516,25
2,20,521,25
3,20,546,25
4,20,579,29
5,20,623,29
6,20,625,29
7,20,639,29
8,20,660,29
9,20,692,29
10,20,713,29
11,20,741,29
12,20,755,29
13,20,769,29
14,20,781,27
15,20,801,27
16,22,849,27
17,22,890,30
18,22,920,30
19,24,934,30
20,24,971,30
21,24,998,33
22,24,1020,33
23,24,1048,33
24,24,1082,33
25,24,1102,33
26,24,1114,34
27,24,1136,34
28,24,1154,34
29,24,1184,34
30,24,1216,34
31,23,1268,34
32,21,1316,34
33,21,1354,34
34,21,1384,34
35,21,1417,36
36,21,1459,36
37,21,1484,36
38,21,1539,36
39,21,1575,36
40,21,1605,36
41,21,1653,36
42,21,1705,36
43,21,1764,36
44,21,1816,38
45,21,1866,40
46,21,1919,40
47,21,1967,40
48,21,2024,40
49,21,2063,40
50,21,2122,40
51,21,2192,40
52,23,2251,40
53,23,2300,40
54,23,2354,40
55,25,2435,40
56,25,2484,40
57,26,2531,40
58,26,2610,40
59,26,2686,43
60,26,2751,43
61,26,2817,43
62,26,2903,43
63,26,2992,43
64,26,3050,43
65,26,3143,43
66,28,3213,43
67,28,3280,43
68,28,3371,43
69,28,3449,47
70,29,3587,47
71,29,3642,47
72,29,3711,47
73,29,3786,51
74,31,3875,51
75,31,3945,52
76,31,4080,52
77,32,4170,52
78,32,4249,52
79,32,4285,52
80,32,4352,52
81,32,4402,52
82,32,4489,52
83,32,4590,52
84,32,4654,54
85,34,4700,54
86,34,4715,58
87,34,4744,62
88,34,4781,62
89,34,4788,65
90,34,4754,65
91,36,4707,65
92,36,4687,65
93,36,4653,68
94,36,4575,68
95,39,4470,68
96,39,4358,68
97,39,4264,68
98,39,4153,68
99,39,4077,68
100,39,4001,69
101,39,3884,69
102,39,3849,70
103,39,3751,70
104,39,3711,74
105,39,3653,74
106,39,3578,74
107,39,3476,75
108,39,3383,78
109,39,3306,81
110,39,3154,81
111,39,3072,81
112,41,2952,81
113,41,2875,81
114,41,2798,85
115,41,2729,85
116,41,2669,87
117,41,2587,87
118,41,2534,87
119,43,2483,90
120,43,2424,90
121,43,2382,91
122,43,2320,94
123,43,2271,98
124,43,2219,98
125,43,2172,98
126,43,2115,98
127,43,2056,102
128,43,2019,105
129,43,1969,105
130,43,1914,109
131,43,1862,109
132,43,1820,109
133,43,1779,110
134,43,1726,113
135,43,1686,115
136,43,1641,116
137,44,1593,116
138,44,1551,119
139,44,1523,118
140,44,1481,121
141,44,1462,121
142,44,1429,120
143,44,1400,120
144,44,1369,119
145,44,1342,119
146,44,1321,119
147,44,1305,119
148,44,1288,123
149,44,1259,123
150,44,1239,122
151,44,1235,122
152,44,1219,125
153,44,1199,125
154,44,1179,125
155,44,1156,128
156,44,1149,134
157,44,1144,134
158,46,1130,134
159,46,1119,134
160,46,1124,133
161,46,1124,136
162,48,1115,139
163,48,1101,139
164,48,1084,145
165,48,1075,145
166,48,1081,145
167,48,1076,144
168,48,1067,145
169,48,1063,143
170,50,1061,144
171,50,1052,144
172,50,1051,142
173,50,1040,141
174,52,1035,141
175,52,1020,143
176,53,1028,148
177,53,1018,149
178,53,1007,149
179,53,999,149
180,54,991,149
181,54,992,149
182,54,983,149
183,54,979,151
184,54,953,157
185,54,957,161
